사업장명,인허가일자,상세영업상태명,소재지전화,도로명주소,지번주소,위도,경도,업태구분명,의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용명,데이터기준일자
도신경외과의원,2008-02-29,영업중,063-273-0007,"전라북도 전주시 덕진구 안덕원로 139, 1,4층 (진북동)",전라북도 전주시 덕진구 진북동 336-21,35.83218909,127.1437557,의원,의원,1,0,0,374.26,내과+외과+정형외과+신경외과,2022-06-30
도심속자연나무한의원,2013-02-28,영업중,063-276-7588,전라북도 전주시 덕진구 붓내3길 42 (송천동2가),전라북도 전주시 덕진구 송천동2가 216-6,35.8664541,127.1261058,한의원,한의원,1,0,0,202,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
도은정형외과의원,1999-02-22,영업중,063-244-2100,전라북도 전주시 덕진구 견훤로 487 (우아동3가),전라북도 전주시 덕진구 우아동3가 602-8,35.85401042,127.1547634,의원,의원,1,0,0,940.4,정형외과,2022-06-30
동방한의원,1973-12-19,영업중,063-284-6792,전라북도 전주시 완산구 어진길 96 (경원동2가),전라북도 전주시 완산구 경원동2가 47-4,35.81693266,127.1494477,한의원,한의원,1,0,0,34,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
동산굿모닝치과의원,2006-06-07,영업중,063-211-7528,"전라북도 전주시 덕진구 쪽구름로 74, 2층 (동산동)",전라북도 전주시 덕진구 동산동 691-17,35.87196114,127.0764793,치과의원,치과의원,1,0,0,140,예방치과,2022-06-30
동산부부치과의원,1993-02-20,영업중,063-211-9904,전라북도 전주시 덕진구 쪽구름로 68 (동산동),전라북도 전주시 덕진구 동산동 691-3,35.87155092,127.0767123,치과의원,치과의원,1,0,0,68,예방치과,2022-06-30
동산원광한의원,2000-01-30,영업중,063-212-1075,전라북도 전주시 덕진구 쪽구름로 67 (반월동),전라북도 전주시 덕진구 반월동 248-11,35.87141032,127.076286,한의원,한의원,1,0,0,181,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
동산정형외과의원,2001-08-21,영업중,063-214-8119,전라북도 전주시 덕진구 쪽구름로 74 (동산동),전라북도 전주시 덕진구 동산동 691-17,35.87196114,127.0764793,의원,의원,1,4,21,848,내과+정형외과+신경외과+소아청소년과+재활의학과,2022-06-30
동아의원,1993-03-03,영업중,063-286-9779,전라북도 전주시 완산구 팔달로 19 (서서학동),전라북도 전주시 완산구 서서학동 124-4,35.80481947,127.1489861,의원,의원,1,0,0,0,내과,2022-06-30
동양한의원,2013-02-04,영업중,063-284-2303,전라북도 전주시 완산구 팔달로 101-4 (전동),전라북도 전주시 완산구 전동 223-5,35.81190189,127.1491731,한의원,한의원,1,0,0,86.3,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
동이한의원,2001-06-25,영업중,063-277-0330,전라북도 전주시 완산구 세내로 542 (효자동3가),전라북도 전주시 완산구 효자동3가 1456-5,35.83395415,127.0999838,한의원,한의원,1,0,0,151.92,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
동해한의원,1997-02-27,영업중,063-277-3603,"전라북도 전주시 덕진구 안덕원로 248, 2층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 772-6,35.83627272,127.1540554,한의원,한의원,1,0,0,223.3,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
두리치과의원,2000-04-22,영업중,063-255-2837,전라북도 전주시 덕진구 송천중앙로 151 (송천동1가),전라북도 전주시 덕진구 송천동1가 482-3,35.86031915,127.1210426,치과의원,치과의원,1,0,0,76.5,예방치과,2022-06-30
드림연합의원,2009-03-04,영업중,063-275-7599,전라북도 전주시 완산구 전룡로 98 (서신동),전라북도 전주시 완산구 서신동 23-38,35.82834599,127.1233492,의원,의원,2,9,29,709.43,내과+정형외과+신경외과+소아청소년과+안과+이비인후과+피부과+비뇨의학과+가정의학과,2022-06-30
따듯한의원,2021-10-28,영업중,,"전라북도 전주시 완산구 전룡로 130, 3층 (서신동)",전라북도 전주시 완산구 서신동 6-15,35.82900404,127.1267732,한의원,한의원,1,0,0,148.8,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
따뜻한정치과의원,2014-09-04,영업중,063-273-2879,"전라북도 전주시 덕진구 사근1길 20, 2층 (송천동2가)",전라북도 전주시 덕진구 송천동2가 175-59,35.86634364,127.1292077,치과의원,치과의원,2,0,0,418.44,소아치과,2022-06-30
라보미의원,2020-06-19,영업중,063-237-2376,"전라북도 전주시 덕진구 정여립로 916, 1~2층 (만성동)",전라북도 전주시 덕진구 만성동 640-1,35.83310034,127.0733026,의원,의원,1,0,0,377.16,피부과,2022-06-30
라온소아청소년과의원,2019-01-02,영업중,063-275-0500,전라북도 전주시 덕진구 세병로 172 (송천동2가),전라북도 전주시 덕진구 송천동2가 1301-6,35.87856246,127.1335758,의원,의원,1,0,0,152,내과+신경과+외과+정형외과+신경외과+소아청소년과+안과+이비인후과+피부과+비뇨의학과,2022-06-30
라이브성형외과의원,2019-09-10,영업중,063-229-9009,"전라북도 전주시 완산구 홍산로 249, 7층 702호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1239-5,35.81601796,127.1055173,의원,의원,1,0,0,325.91,외과+성형외과+피부과+가정의학과,2022-06-30
라인아트의원,2020-11-02,영업중,063-237-0027,"전라북도 전주시 완산구 홍산로 250, 10층 1001호, 1002호 (효자동3가)",전라북도 전주시 완산구 효자동3가 1531-4,35.81603724,127.1064466,의원,의원,1,0,0,455.18,피부과,2022-06-30
라인치과의원,2021-05-07,영업중,063-284-2275,"전라북도 전주시 완산구 서원로 333, 1층 (중화산동1가)",전라북도 전주시 완산구 중화산동1가 252-2,35.81279,127.1304101,치과의원,치과의원,1,0,0,216.29,구강악안면외과+치과보철과+소아치과+치주과+치과보존과+구강내과+예방치과+통합치의학과,2022-06-30
램브란트치과의원,2007-02-01,영업중,063-247-2897,"전라북도 전주시 덕진구 안덕원로 256, 3층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 783-3,35.83634556,127.1549543,치과의원,치과의원,1,0,0,189.66,치과보철과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과+통합치의학과,2022-06-30
레브의원,2016-09-30,영업중,,전라북도 전주시 완산구 온고을로 20 (서신동),전라북도 전주시 완산구 서신동 970-4,35.83419483,127.1207478,의원,의원,2,0,0,251.6,성형외과+피부과,2022-06-30
로뎀힐의원,2015-11-23,영업중,063-231-0688,전라북도 전주시 완산구 전라감영로 34 (중앙동4가),전라북도 전주시 완산구 중앙동4가 31-51,35.81502607,127.1430503,의원,의원,1,0,0,391.89,내과+신경과+정신건강의학과,2022-06-30
롯데부부치과의원,1998-10-26,영업중,063-255-2825,"전라북도 전주시 완산구 온고을로 62, 2층 (서신동)",전라북도 전주시 완산구 서신동 965-1,35.83423622,127.1161487,치과의원,치과의원,1,0,0,242,예방치과,2022-06-30
류치과의원,2013-07-03,영업중,063-285-2888,"전라북도 전주시 완산구 장승배기로 268, 2층 (평화동1가)",전라북도 전주시 완산구 평화동1가 434-15,35.79840632,127.1416305,치과의원,치과의원,1,0,0,252.58,예방치과,2022-06-30
리뉴의원,2014-11-21,영업중,063-224-7970,"전라북도 전주시 완산구 모악로 4769, 4층 (평화동1가)",전라북도 전주시 완산구 평화동1가 708-4,35.795077,127.1321811,의원,의원,3,0,0,137.8,성형외과,2022-06-30
리더스엘 치과의원,2022-03-10,영업중,063-717-2875,"전라북도 전주시 덕진구 세병로 8, 제이케이빌딩 5층 502, 503호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1325-1,35.87549432,127.1268461,치과의원,치과의원,1,0,0,173.16,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+예방치과+통합치의학과,2022-06-30
리우메이의원,2015-06-08,영업중,063-227-2692,"전라북도 전주시 완산구 백제대로 74, 1층 (삼천동1가)",전라북도 전주시 완산구 삼천동1가 732-3,35.80087761,127.1278535,의원,의원,1,0,0,166.8,성형외과+피부과+가정의학과,2022-06-30
리후성형외과의원,2021-09-14,영업중,063-227-3600,"전라북도 전주시 완산구 홍산로 253, 2층 201호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1239-4,35.81638246,127.1054861,의원,의원,1,0,0,372.51,성형외과+피부과,2022-06-30
마디가정의학과의원,2015-03-13,영업중,063-273-8575,"전라북도 전주시 덕진구 솔내로 148, 2층 (송천동1가)",전라북도 전주시 덕진구 송천동1가 107-179,35.86333293,127.1273385,의원,의원,1,0,0,258.6,내과+정형외과+소아청소년과+피부과+가정의학과,2022-06-30
마디의원,2010-05-17,영업중,063-251-8275,"전라북도 전주시 완산구 홍산4길 6, 3층 (효자동3가, 골든시티)",전라북도 전주시 완산구 효자동3가 1528-1,35.8182265,127.1093531,의원,의원,1,2,4,1094.73,내과+정형외과+마취통증의학과+영상의학과+재활의학과,2022-06-30
마디정형외과의원,2010-12-24,영업중,063-249-8300,전라북도 전주시 덕진구 견훤로 407 (인후동2가),전라북도 전주시 덕진구 인후동2가 1572-8,35.8472965,127.1518183,의원,의원,3,11,29,990.42,내과+정형외과+신경외과+마취통증의학과+소아청소년과+재활의학과+가정의학과,2022-06-30
마음의평화정신건강의학과의원,2010-01-04,영업중,063-225-7582,"전라북도 전주시 완산구 용머리로 57, 602호 (효자동1가, 전주크리닉센타)",전라북도 전주시 완산구 효자동1가 435-3,35.80694364,127.1163265,의원,의원,2,0,0,136.19,내과+신경과+정신건강의학과+가정의학과,2022-06-30
마음편한정신건강의학과의원,2004-03-08,영업중,063-225-1675,"전라북도 전주시 완산구 용머리로 156, 4층 (효자동1가)",전라북도 전주시 완산구 효자동1가 195-10,35.8058405,127.1272595,의원,의원,1,0,0,151.23,신경과+정신건강의학과,2022-06-30
만성샘소아청소년과의원,2018-09-14,영업중,063-213-0003,"전라북도 전주시 덕진구 만성로 140, 3층 (만성동)",전라북도 전주시 덕진구 만성동 1372-1,35.84348517,127.0770598,의원,의원,2,0,0,246.23,내과+소아청소년과,2022-06-30
만성시원마취통증의학과의원,2019-04-16,영업중,063-213-0013,"전라북도 전주시 덕진구 만성중앙로 55, 오케이타워 3층 301호 (만성동)",전라북도 전주시 덕진구 만성동 1373-6,35.84266233,127.0778833,의원,의원,3,0,0,235,내과+정형외과+신경외과+마취통증의학과+재활의학과,2022-06-30
만성연합내과산부인과의원,2018-09-17,영업중,063-251-0300,"전라북도 전주시 덕진구 만성로 140, 4층 (만성동)",전라북도 전주시 덕진구 만성동 1372-1,35.84348517,127.0770598,의원,의원,4,0,0,390.61,내과+산부인과,2022-06-30
만성원광한의원,2018-09-10,영업중,063-214-0030,"전라북도 전주시 덕진구 만성로 140, 405호 (만성동)",전라북도 전주시 덕진구 만성동 1372-1,35.84348517,127.0770598,한의원,한의원,1,0,0,154.58,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
만화당한의원,1992-03-03,영업중,063-224-5950,"전라북도 전주시 완산구 용머리로 165, 2층 (효자동1가)",전라북도 전주시 완산구 효자동1가 193-7,35.80649774,127.1279932,한의원,한의원,1,0,0,72.2,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
맑은샘한의원,2002-12-28,영업중,063-271-5553,전라북도 전주시 덕진구 붓내3길 46 (송천동2가),전라북도 전주시 덕진구 송천동2가 216-1,35.86652553,127.1264818,한의원,한의원,1,0,0,198.6,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
맑은얼굴피부과의원,2007-12-13,영업중,063-221-5565,전라북도 전주시 완산구 홍산중앙로 22 (효자동3가),전라북도 전주시 완산구 효자동3가 1541-7,35.81560458,127.1093198,의원,의원,2,0,0,261.02,피부과,2022-06-30
맑은정신건강의학과의원,1998-07-31,영업중,063-232-2479,"전라북도 전주시 완산구 팔달로 178, 1층 (경원동1가)",전라북도 전주시 완산구 경원동1가 40-10,35.81823417,127.1472542,의원,의원,1,0,0,151.74,내과+신경과+정신건강의학과,2022-06-30
맘정신건강의학과의원,1998-12-05,영업중,063-274-7800,"전라북도 전주시 덕진구 기린대로 481, 동원타워 5층 (덕진동1가)",전라북도 전주시 덕진구 덕진동1가 1267-1,35.84249409,127.1250394,의원,의원,1,0,0,212.72,내과+신경과+정신건강의학과+가정의학과,2022-06-30
맨남성의원,2015-05-14,영업중,063-253-5114,"전라북도 전주시 완산구 온고을로 18, 5층 502호 (서신동)",전라북도 전주시 완산구 서신동 970-5,35.834173,127.1210352,의원,의원,0,0,0,192.91,성형외과+비뇨의학과,2022-06-30
메이크유성형외과의원,2016-10-12,영업중,063-272-3636,"전라북도 전주시 완산구 온고을로 18, 701호 (서신동, 전북프뢰벨)",전라북도 전주시 완산구 서신동 970-5,35.834173,127.1210352,의원,의원,1,0,0,233.46,성형외과+피부과,2022-06-30
명가한의원,2008-06-03,영업중,063-231-7582,"전라북도 전주시 완산구 서원로 318, 2층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 28-3,35.81173197,127.1291927,한의원,한의원,1,0,0,176.68,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
명성치과의원,1992-04-27,영업중,063-243-2845,전라북도 전주시 덕진구 중상보로 1 (우아동2가),전라북도 전주시 덕진구 우아동2가 550-1,35.8324328,127.1680616,치과의원,치과의원,1,0,0,282.9,예방치과,2022-06-30
명인치과의원,1995-04-27,영업중,063-226-0900,전라북도 전주시 완산구 용머리로 32 (효자동1가),전라북도 전주시 완산구 효자동1가 454-4,35.80569584,127.1138814,치과의원,치과의원,1,0,0,85,예방치과,2022-06-30
명인한의원,2022-03-28,영업중,,"전라북도 전주시 덕진구 추탄로 54, 1층 (덕진동2가)",전라북도 전주시 덕진구 덕진동2가 661-1,35.84548519,127.1093156,한의원,한의원,1,0,0,194.58,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
모던치과의원,2013-12-04,영업중,063-231-1414,전라북도 전주시 완산구 우전로 250 (효자동2가),전라북도 전주시 완산구 효자동2가 1234-1,35.81716408,127.1022014,치과의원,치과의원,2,0,0,231.01,치과,2022-06-30
모래내피부과의원,1992-03-23,영업중,063-253-2225,"전라북도 전주시 덕진구 안덕원로 204, 모래내피부과 3, 4층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 660-5,35.83549907,127.1496443,의원,의원,4,0,0,665.79,산부인과+피부과+비뇨의학과,2022-06-30
모윤희치과의원,1989-02-28,영업중,063-226-2727,전라북도 전주시 완산구 백제대로 276 (중화산동2가),전라북도 전주시 완산구 중화산동2가 652,35.817813,127.1233196,치과의원,치과의원,1,0,0,62.92,예방치과,2022-06-30
몸과맘한의원,2015-05-11,영업중,063-237-1342,"전라북도 전주시 완산구 바우배기1길 13-14, 3층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1243-2,35.81518583,127.10375,한의원,한의원,1,0,0,313.62,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+사상체질과+침구과,2022-06-30
무지개마취통증의학과의원,2021-05-11,영업중,063-212-1533,"전라북도 전주시 덕진구 혁신로 697, 드림프라자 4층 402-1호, 403호 (반월동)",전라북도 전주시 덕진구 반월동 236-3,35.8741267,127.0745609,의원,의원,1,0,0,226.72,내과+정형외과+신경외과+마취통증의학과+재활의학과+가정의학과,2022-06-30
문수정안과의원,2019-12-26,영업중,063-236-7582,"전라북도 전주시 완산구 쑥고개로 319, 3층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1214-6,35.80261827,127.1001455,의원,의원,3,1,2,308.55,안과,2022-06-30
문이비인후과의원,1996-03-05,영업중,063-253-3993,"전라북도 전주시 완산구 당산로 39 (서신동, 제일비사벌아파트상가 109동 201호)",전라북도 전주시 완산구 서신동 764-2,35.83234504,127.1127268,의원,의원,1,0,0,145.35,이비인후과,2022-06-30
문진균치과의원,1988-04-22,영업중,063-227-2875,전라북도 전주시 완산구 어은로 14 (중화산동2가),전라북도 전주시 완산구 중화산동2가 658-11,35.81645851,127.1245266,치과의원,치과의원,1,0,0,136,예방치과,2022-06-30
미고외과의원,2016-10-10,영업중,063-243-8300,전라북도 전주시 완산구 홍산로 261 (효자동2가),전라북도 전주시 완산구 효자동2가 1239-2,35.81701632,127.1054861,의원,의원,2,0,0,135.52,내과+외과+정형외과+성형외과+피부과,2022-06-30
미담치과의원,2013-11-06,영업중,063-275-5300,전라북도 전주시 완산구 당산로 106 (서신동),전라북도 전주시 완산구 서신동 785-4,35.83200163,127.1200134,치과의원,치과의원,1,0,0,198.1,치과,2022-06-30
미래내과의원,2001-03-02,영업중,063-220-4300,전라북도 전주시 완산구 백제대로 120 (효자동1가),전라북도 전주시 완산구 효자동1가 222-2,35.80387688,127.1246333,의원,의원,4,0,0,1006.11,내과+소아청소년과+진단검사의학과,2022-06-30
미래마취통증의학과의원,2015-11-16,영업중,063-226-3220,"전라북도 전주시 완산구 용머리로 50, 2층 (효자동1가)",전라북도 전주시 완산구 효자동1가 443-2,35.80624814,127.1159519,의원,의원,1,0,0,251.8,정형외과+신경외과+마취통증의학과+가정의학과,2022-06-30
미래이비인후과의원,2011-04-25,영업중,063-225-5075,"전라북도 전주시 완산구 호암로 63, 2층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1317-3,35.8093087,127.101543,의원,의원,1,0,0,185.25,내과+소아청소년과+이비인후과,2022-06-30
미래피부과의원,1999-05-25,영업중,063-272-5885,"전라북도 전주시 덕진구 기린대로 465, 세움팰리피아 3층 302호 (덕진동1가)",전라북도 전주시 덕진구 덕진동1가 1267-22,35.84151355,127.1263028,의원,의원,2,0,0,209.52,피부과,2022-06-30
미소담치과의원,2019-04-19,영업중,063-253-7500,"전라북도 전주시 덕진구 쪽구름로 58, 2층 (동산동)",전라북도 전주시 덕진구 동산동 704-6,35.87059884,127.076984,치과의원,치과의원,1,0,0,196.56,구강악안면외과+치과보철과+소아치과+치주과+치과보존과+구강내과+영상치의학과+예방치과,2022-06-30
미소드림치과의원,2005-06-28,영업중,063-252-2842,"전라북도 전주시 덕진구 솔내로 148, 가동 302호 (송천동1가, 메디프렌드)",전라북도 전주시 덕진구 송천동1가 107-179,35.86333293,127.1273385,치과의원,치과의원,2,0,0,143.18,구강악안면외과+치과보철과+소아치과+치주과+치과보존과+구강내과+영상치의학과+예방치과+통합치의학과,2022-06-30
미소로한의원,2019-07-02,영업중,063-255-5800,"전라북도 전주시 완산구 온고을로 28, 호진빌딩 3층 302호 (서신동)",전라북도 전주시 완산구 서신동 970-1,35.83421397,127.1198111,한의원,한의원,1,0,0,189,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
미소심는치과의원,2007-10-04,영업중,063-241-2804,"전라북도 전주시 완산구 홍산1길 4-13, 2,3,4층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1156-2,35.81516099,127.1078072,치과의원,치과의원,4,0,0,892.26,치과+예방치과,2022-06-30
미소아름치과의원,2004-11-08,영업중,063-275-2275,"전라북도 전주시 완산구 온고을로 22, 3층 (서신동)",전라북도 전주시 완산구 서신동 970-3,35.83420133,127.1204622,치과의원,치과의원,3,0,0,1087.62,예방치과,2022-06-30
미소안치과의원,2014-05-01,영업중,063-227-0000,"전라북도 전주시 완산구 홍산로 245 (효자동2가, 402호(401호 일부포함))",전라북도 전주시 완산구 효자동2가 1244-1,35.8155397,127.1054794,치과의원,치과의원,2,0,0,308.59,치과,2022-06-30
미소이비인후과의원,2010-04-05,영업중,063-224-0130,"전라북도 전주시 완산구 용머리로 156, 2층 (효자동1가)",전라북도 전주시 완산구 효자동1가 195-10,35.8058405,127.1272595,의원,의원,1,0,0,130,내과+소아청소년과+이비인후과,2022-06-30
미소정한의원,2008-05-22,영업중,,"전라북도 전주시 덕진구 송천로 26, 2층 (송천동1가)",전라북도 전주시 덕진구 송천동1가 381-3,35.85568164,127.1192556,한의원,한의원,1,0,0,209.55,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
미소진치과의원,2006-04-17,영업중,063-247-7600,"전라북도 전주시 덕진구 안덕원로 259, 3층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 768-19,35.83691155,127.1553736,치과의원,치과의원,2,0,0,207.3,구강악안면외과+치과보철과+치주과+치과보존과+구강내과+예방치과+통합치의학과,2022-06-30
미소찬치과의원,2019-10-28,영업중,063-212-1313,"전라북도 전주시 덕진구 만성중앙로 55, 303호 (만성동)",전라북도 전주시 덕진구 만성동 1373-6,35.84266233,127.0778833,치과의원,치과의원,1,0,0,245,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과+통합치의학과,2022-06-30
미소하나치과교정과치과의원,2022-06-29,영업중,063-276-2899,"전라북도 전주시 덕진구 세병서로 43, 청담빌딩 3층 301~303호 (송천동2가)",전라북도 전주시 덕진구 송천동2가 1331-12,35.87197708,127.1270353,치과의원,치과의원,1,0,0,377.88,치과교정과,2022-06-30
미소한의원,2012-06-19,영업중,063-254-0700,전라북도 전주시 완산구 서신로 110 (서신동),전라북도 전주시 완산구 서신동 964-3,35.83509832,127.1161025,한의원,한의원,1,0,0,177.82,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
미인의원,2014-08-26,영업중,063-237-1080,"전라북도 전주시 완산구 유연로 297, GM DAEWOO 2층 (서신동)",전라북도 전주시 완산구 서신동 864-2,35.82556018,127.1180804,의원,의원,2,0,0,177.64,내과+성형외과+피부과,2022-06-30
미주치과의원,1997-11-26,영업중,063-232-2828,전라북도 전주시 완산구 노송여울1길 21 (서노송동),전라북도 전주시 완산구 서노송동 632-5,35.82461405,127.1449245,치과의원,치과의원,1,0,0,119,예방치과,2022-06-30
미즈웰김영희산부인과의원,2004-01-07,영업중,063-255-8575,"전라북도 전주시 완산구 온고을로 26, 301호 (서신동, 트윈폴리스)",전라북도 전주시 완산구 서신동 970-2,35.8342007,127.1201013,의원,의원,2,0,0,0,산부인과,2022-06-30
미치과의원,2003-04-18,영업중,063-244-7828,"전라북도 전주시 덕진구 백제대로 662, 2층 (금암동)",전라북도 전주시 덕진구 금암동 1588-7,35.84304544,127.1416447,치과의원,치과의원,1,0,0,220.9,예방치과,2022-06-30
미플란트치과의원,2008-04-10,영업중,063-236-7528,"전라북도 전주시 완산구 백제대로 234-1, 2층 (중화산동2가)",전라북도 전주시 완산구 중화산동2가 648-10,35.81402673,127.1234782,치과의원,치과의원,2,0,0,230.04,치과보철과+치과교정과+소아치과+치주과+치과보존과+예방치과,2022-06-30
미플러스의원,2021-05-07,영업중,063-285-4500,"전라북도 전주시 덕진구 견훤로 227, 2층 (인후동1가)",전라북도 전주시 덕진구 인후동1가 811-5,35.8320377,127.1581606,의원,의원,1,0,0,210.28,성형외과+피부과+가정의학과,2022-06-30
미플러스치과의원,2001-07-02,영업중,063-244-2879,전라북도 전주시 덕진구 건산로 240 (인후동1가),전라북도 전주시 덕진구 인후동1가 845-5,35.83433237,127.1635661,치과의원,치과의원,1,0,0,172.36,구강악안면외과+치과보철과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과+통합치의학과,2022-06-30
미하이의원,2013-09-06,영업중,063-227-7742,"전라북도 전주시 완산구 홍산로 245, 5층 (효자동2가, 서광빌딩)",전라북도 전주시 완산구 효자동2가 1244-1,35.8155397,127.1054794,의원,의원,3,0,0,443.6,성형외과+피부과+가정의학과,2022-06-30
민관식치과의원,2001-04-17,영업중,063-247-2875,전라북도 전주시 덕진구 아중로 149 (인후동1가),전라북도 전주시 덕진구 인후동1가 916-6,35.82630388,127.1658588,치과의원,치과의원,1,0,0,182,예방치과,2022-06-30
민들레소아청소년과의원,2009-01-23,영업중,063-275-9475,"전라북도 전주시 덕진구 시천로 40, 201호 (송천동1가)",전라북도 전주시 덕진구 송천동1가 834-4,35.86292748,127.114792,의원,의원,1,0,0,173.53,내과+소아청소년과+안과+이비인후과+피부과+가정의학과,2022-06-30
믿음사랑한의원,2014-06-17,영업중,063-276-3352,"전라북도 전주시 완산구 유연로 281 (서신동, 2층)",전라북도 전주시 완산구 서신동 857,35.82554718,127.1163379,한의원,한의원,1,0,0,146.63,한방내과+한방부인과+한방소아과+한방안·이비인후·피부과+한방신경정신과+한방재활의학과+사상체질과+침구과,2022-06-30
바로세움의원,2022-05-12,영업중,063-227-7501,"전라북도 전주시 완산구 평화로 192, 3-4층 (평화동1가)",전라북도 전주시 완산구 평화동1가 741-1,35.79363924,127.1366687,의원,의원,1,8,21,881.1,정형외과+가정의학과,2022-06-30
바론치과교정과치과의원,2014-10-16,영업중,063-228-2872,"전라북도 전주시 완산구 홍산로 246, 2층 202호 (효자동2가)",전라북도 전주시 완산구 효자동2가 1154-1,35.81554362,127.1064504,치과의원,치과의원,1,0,0,205.94,치과교정과,2022-06-30
바르다 김인주 치과의원,2016-01-04,영업중,063-214-2119,"전라북도 전주시 완산구 용머리로 38, 201호 (효자동1가, 참한의원)",전라북도 전주시 완산구 효자동1가 428-11,35.80588039,127.1144805,치과의원,치과의원,1,0,0,236.29,치과,2022-06-30
바르미나치과의원,2015-04-10,영업중,,"전라북도 전주시 완산구 유연로 170, 4층 (효자동3가)",전라북도 전주시 완산구 효자동3가 1627-1,35.8249111,127.1040202,치과의원,치과의원,1,0,0,262.44,치과교정과+구강내과,2022-06-30
바른누리치과의원,2022-02-16,영업중,063-223-7528,"전라북도 전주시 완산구 세내로 257, 3,4층 (효자동2가)",전라북도 전주시 완산구 효자동2가 1159-6,35.81337535,127.1107543,치과의원,치과의원,2,0,0,323.53,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+구강병리과+예방치과,2022-06-30
바른마음치과의원,2017-06-12,영업중,063-245-2275,전라북도 전주시 덕진구 안덕원로 254 (인후동1가),전라북도 전주시 덕진구 인후동1가 783-2,35.83633563,127.1547547,치과의원,치과의원,1,0,0,250,구강악안면외과+치과보철과+치과교정과+소아치과+치주과+치과보존과+구강내과+영상치의학과+예방치과,2022-06-30
바른비뇨의학과의원,2018-11-20,영업중,063-274-7775,"전라북도 전주시 덕진구 솔내로 184, 2층 (송천동2가)",전라북도 전주시 덕진구 송천동2가 220-8,35.86633561,127.1274432,의원,의원,1,0,0,183.75,피부과+비뇨의학과,2022-06-30
바른영상의학과의원,2020-02-27,영업중,063-225-0375,"전라북도 전주시 완산구 홍산로 254, 7층 703(전체), 701(일부)호 (효자동3가)",전라북도 전주시 완산구 효자동3가 1531-3,35.81634411,127.1064612,의원,의원,2,0,0,476.32,영상의학과,2022-06-30
바른이비인후과의원,2021-02-15,영업중,063-904-8275,"전라북도 전주시 완산구 모악로 4746, 태양빌딩 3층 305호,306호 (평화동1가)",전라북도 전주시 완산구 평화동1가 736-3,35.7929159,127.1323047,의원,의원,1,0,0,270.24,소아청소년과+이비인후과,2022-06-30
